Gene	Normal	Tumour	FDR	AveExpr	P value	Normal-1	Normal-2	Normal-3	Normal-4	Normal-5	Tumour-1	Tumour-2	Tumour-3	Tumour-4	Tumour-5	Normal-1 CPM	Normal-2 CPM	Normal-3 CPM	Normal-4 CPM	Normal-5 CPM	Tumour-1 CPM	Tumour-2 CPM	Tumour-3 CPM	Tumour-4 CPM	Tumour-5 CPM
CA4	0	-9.3083044249894	2.47436885056426e-22	3.79066466849323	1.25335267478688e-26	1470	619	1521	857	1907	6	1	0	3	1	33.312	20.675	28.618	13.450	38.176	0.141	0.018	0.000	0.046	0.017
ATP1A2	0	-8.27021368119012	1.43646349274439e-15	6.62782792794174	1.45523603762982e-19	3629	2207	19894	10639	11875	42	9	4	123	15	82.237	73.717	374.316	166.973	237.725	0.990	0.160	0.077	1.883	0.256
HBB	0	-7.31686028783937	1.32289600619671e-13	7.18650532830624	2.01027657714018e-17	10602	3126	41120	2702	8187	27	119	151	126	72	240.253	104.413	773.695	42.406	163.895	0.636	2.111	2.897	1.929	1.231
MMP13	0	8.09007037842091	1.20765617845684e-12	3.00163195374416	2.44687707113127e-16	0	3	0	6	5	1573	720	428	306	999	0.000	0.100	0.000	0.094	0.100	37.066	12.771	8.212	4.684	17.074
GJB2	0	6.02519253228039	1.57575528796031e-12	5.51211874649265	3.99087044868887e-16	29	67	24	183	57	4367	2685	2424	1141	13024	0.657	2.238	0.452	2.872	1.141	102.904	47.626	46.509	17.466	222.595
COL10A1	0	7.03345188273428	1.12214270714432e-11	6.42447411077941	4.04946027702974e-15	20	68	7	170	73	11783	538	10952	6583	14092	0.453	2.271	0.132	2.668	1.461	277.655	9.543	210.136	100.773	240.848
SOD3	0	-4.42459112750447	1.12214270714432e-11	6.12787177540696	3.60555077647065e-15	6575	4359	6535	6275	7513	97	300	345	972	138	148.997	145.597	122.960	98.483	150.402	2.286	5.321	6.620	14.879	2.359
BTNL9	0	-6.22947498025404	1.12214270714432e-11	6.59185562437006	4.54723009682633e-15	7046	4489	21092	1219	8488	157	157	19	260	127	159.670	149.939	396.858	19.132	169.921	3.700	2.785	0.365	3.980	2.171
FGF2	0	-4.22222907308889	1.76226514016215e-11	5.98496966429839	8.03382953168846e-15	4434.59	2271.5	10563.12	3389.07	7224.91	239.77	505.71	147.39	584.47	350.2	100.493	75.871	198.751	53.190	144.635	5.650	8.970	2.828	8.947	5.985
HBA2	0	-6.54833809618029	2.15820685029979e-11	6.52307917358023	1.09320577970813e-14	5223	1536	28086	2252	4625	21	137	116.72	121	141	118.359	51.305	528.453	35.344	92.587	0.495	2.430	2.240	1.852	2.410
CES1	0	-4.89811667850633	2.63079913639034e-11	6.82793479477882	1.56932182481668e-14	13156	5903	12860	2689	14317	199	168	328	920	525	298.129	197.168	241.968	42.202	286.611	4.689	2.980	6.293	14.083	8.973
AKR1C2	0	-5.42351674519181	2.63079913639034e-11	7.12733675965497	1.59910797470793e-14	12377	4002	21322	15595	13135	149	283	626	54	508	280.476	133.672	401.185	244.755	262.948	3.511	5.020	12.011	0.827	8.682
MMP11	0	6.44611589474532	2.81390873318149e-11	7.53599570586396	1.85294364964844e-14	182	132	113	461	194	28798	717	16607	8587	39168	4.124	4.409	2.126	7.235	3.884	678.597	12.718	318.638	131.450	669.426
SDPR	0	-4.58245595924774	3.84195621257494e-11	6.38702733625307	2.72451560004301e-14	8226	3251	12398	4845	8450	245	329	72	896	444	186.410	108.588	233.275	76.040	169.160	5.773	5.836	1.381	13.716	7.588
FAM107A	0	-4.35904044352519	1.04118041975151e-10	5.58052699969628	7.91090380724987e-14	6150	3793	4696	2184	3386	131	331	111	654	97	139.366	126.691	88.358	34.277	67.784	3.087	5.871	2.130	10.011	1.658
CFD	0	-6.16086869177411	1.67878536569142e-10	7.70719423716155	1.44561600733229e-13	35000	6704	16253	4087	30125	551	113	53	645	244	793.138	223.923	305.809	64.143	603.070	12.984	2.004	1.017	9.874	4.170
LYVE1	0	-6.33180212805348	1.67878536569142e-10	6.5846378197398	1.44323889058648e-13	16735	1813	13871	678	9126	40	211	42	175	203	379.233	60.557	260.990	10.641	182.693	0.943	3.743	0.806	2.679	3.470
COL11A1	0	9.65917835134048	3.5243657188656e-10	7.50583920455613	3.21338177183572e-13	27	17	0	36	29	15914	625	22985	560	52539	0.612	0.568	0.000	0.565	0.581	374.998	11.086	441.013	8.573	897.951
MLXIPL	0	-6.17795358308648	4.56687364098353e-10	5.10161686699226	4.40599758660491e-13	1885	616	8795	213	3804	42	89	38	45	37	42.716	20.575	165.483	3.343	76.152	0.990	1.579	0.729	0.689	0.632
