country,year,lifeExp
Turkey,1952,44
Bosnia and Herzegovina,1952,54
Albania,1952,55
Serbia,1952,58
Montenegro,1952,59
Bulgaria,1952,60
Portugal,1952,60
Croatia,1952,61
Poland,1952,61
Romania,1952,61
Hungary,1952,64
Slovak Republic,1952,64
Spain,1952,65
Greece,1952,66
Italy,1952,66
Slovenia,1952,66
Austria,1952,67
Czech Republic,1952,67
Finland,1952,67
France,1952,67
Ireland,1952,67
Belgium,1952,68
Germany,1952,68
United Kingdom,1952,69
Switzerland,1952,70
Denmark,1952,71
Iceland,1952,72
Netherlands,1952,72
Sweden,1952,72
Norway,1952,73
Turkey,1957,48
Bosnia and Herzegovina,1957,58
Albania,1957,59
Montenegro,1957,61
Portugal,1957,62
Serbia,1957,62
Romania,1957,64
Croatia,1957,65
Hungary,1957,66
Poland,1957,66
Austria,1957,67
Bulgaria,1957,67
Finland,1957,67
Slovak Republic,1957,67
Spain,1957,67
Greece,1957,68
Italy,1957,68
Slovenia,1957,68
Belgium,1957,69
Czech Republic,1957,69
France,1957,69
Germany,1957,69
Ireland,1957,69
United Kingdom,1957,70
Switzerland,1957,71
Denmark,1957,72
Sweden,1957,72
Iceland,1957,73
Netherlands,1957,73
Norway,1957,73
Turkey,1962,52
Bosnia and Herzegovina,1962,62
Montenegro,1962,64
Portugal,1962,64
Albania,1962,65
Serbia,1962,65
Croatia,1962,67
Romania,1962,67
Hungary,1962,68
Poland,1962,68
Finland,1962,69
Italy,1962,69
Slovenia,1962,69
Austria,1962,70
Belgium,1962,70
Bulgaria,1962,70
Czech Republic,1962,70
Germany,1962,70
Greece,1962,70
Ireland,1962,70
Slovak Republic,1962,70
Spain,1962,70
France,1962,71
Switzerland,1962,71
United Kingdom,1962,71
Denmark,1962,72
Netherlands,1962,73
Norway,1962,73
Sweden,1962,73
Iceland,1962,74
Turkey,1967,54
Bosnia and Herzegovina,1967,65
Albania,1967,66
Montenegro,1967,67
Portugal,1967,67
Romania,1967,67
Serbia,1967,67
Croatia,1967,68
Slovenia,1967,69
Austria,1967,70
Bulgaria,1967,70
Czech Republic,1967,70
Finland,1967,70
Hungary,1967,70
Poland,1967,70
Belgium,1967,71
Germany,1967,71
Greece,1967,71
Ireland,1967,71
Italy,1967,71
Slovak Republic,1967,71
Spain,1967,71
United Kingdom,1967,71
France,1967,72
Denmark,1967,73
Switzerland,1967,73
Iceland,1967,74
Netherlands,1967,74
Norway,1967,74
Sweden,1967,74
Turkey,1972,57
Bosnia and Herzegovina,1972,67
Albania,1972,68
Portugal,1972,69
Romania,1972,69
Serbia,1972,69
Croatia,1972,70
Czech Republic,1972,70
Hungary,1972,70
Slovak Republic,1972,70
Slovenia,1972,70
